Probe_ID	Date	Probe_Count
1255	2021-08-17	4479
1255	2021-08-18	9500
1255	2021-08-19	4441
1255	2021-08-20	5223
1255	2021-08-21	6392
1255	2021-08-22	6066
1255	2021-08-23	3479
1255	2021-08-24	4021
1255	2021-08-25	4064
1255	2021-08-26	4906
1255	2021-08-27	5219
1255	2021-08-28	6131
1255	2021-08-29	6535
1255	2021-08-30	5430
1255	2021-08-31	6438
1255	2021-09-01	7343
1255	2021-09-02	6564
1255	2021-09-03	5737
1255	2021-09-04	6319
1255	2021-09-05	6835
1255	2021-09-06	4871
1255	2021-09-07	5452
1255	2021-09-08	6902
1255	2021-09-09	6584
1255	2021-09-10	8624
1255	2021-09-11	6546
1255	2021-09-12	5194
1255	2021-09-13	4615
1255	2021-09-14	5327
1255	2021-09-15	6216
1255	2021-09-16	6765
1255	2021-09-17	7031
1255	2021-09-18	6745
1255	2021-09-19	6585
1255	2021-09-20	3724
1255	2021-09-21	5151
1255	2021-09-22	4945
1255	2021-09-23	6983
1255	2021-09-24	7306
1255	2021-09-25	7226
1255	2021-09-26	7110
1255	2021-09-27	5275
1255	2021-09-28	5928
1255	2021-09-29	7116
1255	2021-09-30	5842
1255	2021-10-01	6409
1255	2021-10-02	8057
1255	2021-10-03	6585
3088	2021-01-04	1365
3088	2021-01-05	1503
3088	2021-01-06	1499
3088	2021-01-07	1360
3088	2021-01-08	1769
3088	2021-01-09	1210
3088	2021-01-10	820
3088	2021-01-11	1707
3088	2021-01-12	1769
3088	2021-01-13	1950
3088	2021-01-14	1789
3088	2021-01-15	2139
3088	2021-01-16	1542
3088	2021-01-17	1071
3088	2021-01-18	1767
3088	2021-01-19	1801
3088	2021-01-20	1966
3088	2021-01-21	1867
3088	2021-01-22	2317
3088	2021-01-23	1086
3088	2021-01-24	849
3088	2021-01-25	1596
3088	2021-01-26	1132
3088	2021-01-27	1938
3088	2021-01-28	2169
3088	2021-01-29	2353
3088	2021-01-30	1376
3088	2021-01-31	1137
3088	2021-02-01	1960
3088	2021-02-02	2040
3088	2021-02-03	2007
3088	2021-02-04	2144
3088	2021-02-05	2221
3088	2021-02-06	1402
3088	2021-02-07	1225
3088	2021-02-08	1964
3088	2021-02-09	2089
3088	2021-02-10	2338
3088	2021-02-11	2294
3088	2021-02-12	2884
3088	2021-02-13	1571
3088	2021-02-14	1527
3088	2021-02-15	2169
3088	2021-02-16	2709
3088	2021-02-17	2484
3088	2021-02-18	2503
3088	2021-02-19	2843
3088	2021-02-20	2092
3088	2021-02-21	1174
3088	2021-02-22	2522
3088	2021-02-23	2612
3088	2021-02-24	2922
3088	2021-02-25	2718
3088	2021-02-26	2806
3088	2021-02-27	2295
3088	2021-02-28	1720
3088	2021-03-01	563
3088	2021-03-02	2953
3088	2021-03-03	3068
3088	2021-03-04	3361
3088	2021-03-05	3043
3088	2021-03-06	1916
3088	2021-03-07	1569
3088	2021-03-08	1291
3088	2021-03-09	2694
3088	2021-03-10	2908
3088	2021-03-11	2900
3088	2021-03-12	3144
3088	2021-03-13	2214
3088	2021-03-14	1716
3088	2021-03-15	2330
3088	2021-03-16	3015
3088	2021-03-17	2796
3088	2021-03-18	3067
3088	2021-03-19	2958
3088	2021-03-20	2312
3088	2021-03-21	1461
3088	2021-03-22	2291
3088	2021-03-23	2719
3088	2021-03-24	2862
3088	2021-03-25	2738
3088	2021-03-26	581
3088	2021-03-27	1996
3088	2021-03-28	1442
3088	2021-03-29	2441
3088	2021-03-30	2804
3088	2021-03-31	2556
3088	2021-04-01	2535
3088	2021-04-02	1152
3088	2021-04-03	1244
3088	2021-04-04	1069
3088	2021-04-05	1088
3088	2021-04-06	2419
3088	2021-04-07	2582
3088	2021-04-08	2512
3088	2021-04-09	2914
3088	2021-04-10	1602
3088	2021-04-11	1218
3088	2021-04-12	1949
3088	2021-04-13	2141
3088	2021-04-14	2157
3088	2021-04-15	2451
3088	2021-04-16	2341
3088	2021-04-17	1945
3088	2021-04-18	1487
3088	2021-04-19	1784
3088	2021-04-20	1918
3088	2021-04-21	1964
3088	2021-04-22	2019
3088	2021-04-23	2050
3088	2021-04-24	1514
3088	2021-04-25	2007
3088	2021-04-26	1128
3088	2021-04-27	2573
3088	2021-04-28	2472
3088	2021-04-29	2396
3088	2021-04-30	2663
3088	2021-05-01	1978
3088	2021-05-02	1383
3088	2021-05-03	2212
3088	2021-05-04	2571
3088	2021-05-05	2563
3088	2021-05-06	2401
3088	2021-05-07	2667
3088	2021-05-08	2035
3088	2021-05-09	1287
3088	2021-05-10	2126
